"nom du fichier","tadarida_taxon","temps_debut","temps_fin","frequence_mediane","tadarida_probabilite","tadarida_taxon_autre","observateur_taxon","observateur_probabilite","validateur_taxon","validateur_probabilite","participation","amph","Antped","Antsor","Aposyl","Barbar","Barfis","Barsan","Barser","Bicbic","chirp","Cicorn","Concon","Confus","Corcho","criq","Cympud","Cyrscu","Decalb","Epheph","Eptnil","Eptser","Eumbor","Eupcha","Euptyr","Grycam","Hypsav","Inssp5","Inssp6","Inssp7","Inssp8","Inssp9","Isopyr","Lamsp.","Leppun","Lyrple","mamm","Micagr","Minsch","Mussp","Myoalc","Myobec","Myobra","Myocap","Myodas","Myodau","Myoema","MyoGT","Myomys","Myonat","noise","Nyclas","Nyclei","Nycnoc","Ortsp.","Phafal","Phanan","Phofem","Phogri","piaf","Pipkuh","Pipmad","Pipnat","Pippip","Pippyg","Plaaff","Plaalb","Plafal","Plaint","Plasab","Pleaur","Pleaus","Plemac","Ptebon","Pteger","Ptehey","Ptepon","Ratnor","Rhieur","Rhifer","Rhihip","Roeroe","Rusnit","Sepsep","Tadten","Testes","Tetcan","Tetvir","Thycor","Tyllil","Urobre","Urorug","Vesmur","Yerbey","Yerray","ProbEsp_C2bs"
"Car730568-2016-Pass2-Z2-73EPINE-2_1_20160719_003124_153","noise",0.3,4.9,12,0.83,"","","","","","5857d56d9ebce1000ed89ea7",0.03,0,0,0.004,0.004,0.014,0.008,0,0,0.002,0.01,0,0.002,0.002,0,0,0.006,0.032,0.01,0.004,0.006,0.002,0.002,0.012,0.02,0.016,0,0.002,0,0,0,0.006,0.002,0.01,0,0.01,0.004,0,0.004,0.016,0.002,0,0.016,0.002,0.004,0.006,0,0.006,0.01,0.182,0.002,0.014,0.01,0,0.01,0.018,0.028,0.04,0.094,0.008,0.004,0.002,0.006,0.01,0.008,0.008,0,0.01,0.006,0.004,0.002,0.002,0.002,0,0,0.004,0,0,0,0.012,0.012,0.022,0.012,0.026,0.006,0.016,0.098,0,0.01,0,0.02,0,0,0.006,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_1_20160719_003145_262","noise",0.5,4.9,11,0.548,"Tetvir","","","","","5857d56d9ebce1000ed89ea7",0.034,0.002,0,0.004,0.004,0.014,0.008,0,0,0.002,0.01,0,0.002,0.002,0,0,0.006,0.034,0.01,0.006,0.01,0.002,0.002,0.01,0.024,0.012,0,0.002,0,0,0,0.008,0.004,0.008,0,0.012,0.002,0,0.004,0.016,0.002,0,0.016,0.002,0.002,0.008,0,0.008,0.01,0.186,0.002,0.016,0.008,0,0.014,0.016,0.032,0.032,0.096,0.012,0.004,0.002,0.008,0.002,0.01,0.008,0,0.01,0.004,0.004,0.002,0.002,0,0,0,0.004,0,0,0,0.004,0.014,0.016,0.012,0.022,0.006,0.012,0.106,0,0.01,0,0.016,0,0,0.006,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_1_20160719_003150_262","Phogri",0.3,1.9,11,0.28,"noise, Tadten","","","","","5857d56d9ebce1000ed89ea7",0.036,0.002,0.014,0.042,0.002,0.022,0,0,0,0,0,0.006,0.01,0.046,0.006,0,0.016,0.022,0.02,0.002,0.004,0.002,0.002,0.018,0.008,0.01,0,0,0.002,0,0,0.01,0,0.006,0.006,0.002,0.002,0.002,0.032,0.006,0,0,0.008,0.008,0.012,0.002,0.014,0.016,0.01,0.038,0,0.018,0.006,0,0,0.032,0.054,0.01,0.08,0.02,0.016,0.002,0.018,0.004,0.006,0,0,0.008,0.004,0.02,0.01,0.002,0,0.004,0.004,0,0,0,0.004,0,0.012,0.004,0.01,0.116,0.002,0.006,0.03,0.002,0,0.002,0.024,0,0,0.004,"Tadten"
"Car730568-2016-Pass2-Z2-73EPINE-2_1_20160719_003205_115","noise",0,4.8,12,0.768,"","","","","","5857d56d9ebce1000ed89ea7",0.032,0,0,0.004,0.004,0.014,0.008,0,0,0.002,0.01,0,0.002,0.002,0,0,0.006,0.03,0.01,0.004,0.006,0.002,0.002,0.012,0.02,0.018,0,0.002,0,0,0,0.006,0.002,0.008,0,0.01,0.004,0,0.004,0.016,0.002,0,0.016,0.002,0.004,0.006,0,0.006,0.01,0.184,0.002,0.012,0.01,0,0.01,0.018,0.028,0.038,0.092,0.01,0.004,0.002,0.008,0.008,0.008,0.008,0,0.01,0.006,0.004,0.002,0.002,0.002,0,0,0.004,0,0,0,0.01,0.012,0.02,0.012,0.024,0.01,0.016,0.102,0,0.01,0,0.02,0,0,0.006,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_1_20160719_003243_167","noise",0,4.5,12,0.632,"Tetvir","","","","","5857d56d9ebce1000ed89ea7",0.032,0,0,0.004,0.004,0.014,0.008,0,0,0.002,0.01,0,0,0.002,0,0,0.006,0.032,0.01,0.004,0.006,0.002,0.002,0.012,0.02,0.016,0,0.002,0,0,0,0.008,0.002,0.008,0,0.01,0.002,0,0.004,0.016,0.002,0,0.016,0.002,0.002,0.008,0,0.006,0.01,0.192,0.002,0.016,0.008,0,0.014,0.016,0.028,0.036,0.092,0.01,0.004,0.002,0.008,0.002,0.01,0.008,0,0.01,0.006,0.004,0.002,0.002,0.002,0,0,0.004,0,0,0,0.008,0.012,0.018,0.012,0.024,0.008,0.016,0.104,0,0.01,0,0.02,0,0,0.006,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_1_20160719_003248_167","noise",0,0.1,20,0.29,"","","","","","5857d56d9ebce1000ed89ea7",0.032,0.002,0.006,0.004,0.006,0.042,0.006,0,0,0.002,0.002,0,0.008,0.002,0,0,0.008,0.028,0.012,0.006,0.004,0.002,0.002,0.008,0.018,0.01,0.002,0.002,0,0,0,0.01,0.006,0.01,0,0.006,0.006,0,0.006,0.016,0,0,0.012,0.002,0.006,0.006,0,0.012,0.01,0.162,0.002,0.024,0.016,0,0.014,0.014,0.038,0.032,0.072,0.012,0,0.002,0.004,0.014,0.006,0.012,0,0.012,0.004,0.01,0.004,0.002,0.002,0,0,0.006,0,0.002,0,0.002,0.02,0.022,0.02,0.018,0.006,0.012,0.072,0,0.018,0,0.016,0,0,0.006,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_1_20160719_003248_425","noise",0,5,12,0.802,"","","","","","5857d56d9ebce1000ed89ea7",0.028,0,0,0.004,0.004,0.014,0.008,0,0,0.002,0.012,0,0.004,0.002,0,0,0.006,0.03,0.01,0.002,0.006,0.002,0.002,0.012,0.02,0.016,0,0.002,0,0,0,0.006,0.002,0.006,0,0.01,0.004,0,0.004,0.016,0.002,0,0.014,0.002,0.004,0.006,0,0.006,0.01,0.19,0.002,0.012,0.008,0,0.01,0.018,0.026,0.04,0.092,0.01,0.004,0.002,0.006,0.008,0.008,0.008,0,0.01,0.006,0.004,0.002,0.002,0.002,0,0,0.004,0,0,0,0.012,0.012,0.02,0.012,0.024,0.008,0.016,0.108,0,0.01,0,0.02,0,0,0.006,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_1_20160719_003253_425","noise",0,1,12,0.428,"Tetvir","","","","","5857d56d9ebce1000ed89ea7",0.03,0.002,0,0.004,0.004,0.018,0.008,0,0,0.002,0.002,0,0.004,0.004,0,0,0.004,0.042,0.012,0.006,0.008,0.002,0.002,0.012,0.034,0.012,0,0.002,0,0,0,0.006,0.004,0.008,0,0.01,0.004,0,0.004,0.016,0.002,0,0.012,0.002,0.002,0.006,0,0.006,0.01,0.204,0.002,0.018,0.01,0,0.012,0.014,0.034,0.03,0.092,0.016,0,0.002,0.004,0.004,0.01,0.006,0,0.01,0.004,0.006,0.004,0.002,0,0,0,0.006,0,0.002,0,0.004,0.014,0.018,0.012,0.022,0.004,0.012,0.078,0,0.008,0,0.024,0,0,0.006,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_1_20160719_003255_675","noise",0.1,5,12,0.652,"Tetvir","","","","","5857d56d9ebce1000ed89ea7",0.032,0,0,0.004,0.004,0.014,0.008,0,0,0.002,0.01,0,0.002,0.002,0,0,0.006,0.03,0.01,0.002,0.006,0.002,0.002,0.012,0.02,0.016,0,0.002,0,0,0,0.008,0.002,0.008,0,0.01,0.002,0,0.004,0.016,0.002,0,0.016,0.002,0.002,0.006,0,0.006,0.01,0.192,0.002,0.012,0.008,0,0.012,0.018,0.026,0.036,0.092,0.01,0.004,0.002,0.01,0.002,0.01,0.008,0,0.01,0.006,0.004,0.002,0.002,0.002,0,0,0.004,0,0,0,0.008,0.012,0.018,0.012,0.024,0.008,0.016,0.112,0,0.01,0,0.02,0,0,0.006,"noise"
"Car730568-2016-Pass2-Z2-73EPINE-2_1_20160719_003306_413","noise",0.2,5,12,0.682,"Tetvir","","","","","5857d56d9ebce1000ed89ea7",0.034,0,0,0.004,0.004,0.014,0.008,0,0,0.002,0.01,0,0,0.002,0,0,0.006,0.03,0.01,0.004,0.006,0.002,0.002,0.012,0.02,0.016,0,0.002,0,0,0,0.008,0.002,0.008,0,0.01,0.002,0,0.004,0.016,0.002,0,0.016,0.002,0.002,0.006,0,0.006,0.01,0.188,0.002,0.012,0.01,0,0.012,0.018,0.028,0.034,0.092,0.01,0.004,0.002,0.01,0.002,0.01,0.008,0,0.01,0.006,0.004,0.002,0.002,0.002,0,0,0.004,0,0,0,0.008,0.012,0.018,0.012,0.024,0.008,0.018,0.11,0,0.01,0,0.02,0,0,0.006,"noise"
