"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211742_355";"0.0";4.9;51.0;"Pippip";0.824;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211747_355";"0.0";3.3;49.0;"Pippip";0.818;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211747_355";1.8;1.9;12.0;"noise";0.396;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211751_290";"0.0";1.7;51.0;"Pippip";0.764;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211751_290";3.0;3.1;16.0;"noise";0.502;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211801_452";"0.0";5.0;55.0;"Pippip";0.8;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211801_452";0.3;5.0;22.0;"noise";0.532;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211806_452";"0.0";0.8;17.0;"noise";0.54;"Pippip";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211808_665";"0.0";5.0;58.0;"Pippip";0.774;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211808_665";3.4;4.8;16.0;"noise";0.552;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211813_665";0.1;5.0;52.0;"Pippip";0.81;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211813_665";1.4;4.9;17.0;"noise";0.676;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211818_665";"0.0";4.3;55.0;"Pippip";0.7;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211818_665";0.8;4.1;15.0;"noise";0.556;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211830_194";"0.0";"0.0";52.0;"Pippip";0.31;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211840_116";"0.0";4.1;56.0;"Pippip";0.63;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211922_568";"0.0";5.0;55.0;"Pippip";0.838;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211927_568";0.1;4.3;59.0;"Pippip";0.674;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211927_568";0.4;0.9;26.0;"noise";0.572;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211938_682";"0.0";1.6;52.0;"Pippip";0.654;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211945_749";"0.0";5.0;55.0;"Pippip";0.692;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211945_749";2.9;3.0;15.0;"noise";0.41;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211950_749";"0.0";1.4;55.0;"Pippip";0.504;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212005_772";"0.0";0.2;56.0;"Pippip";0.414;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212010_478";"0.0";0.6;54.0;"Pippip";0.724;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212017_425";"0.0";2.5;55.0;"Pippip";0.568;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212111_019";"0.0";5.0;55.0;"Pippip";0.694;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212116_019";"0.0";5.0;56.0;"Pippip";0.748;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212121_019";"0.0";1.5;54.0;"Pippip";0.52;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212125_685";"0.0";4.8;56.0;"Pippip";0.68;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212137_630";"0.0";4.3;55.0;"Pippip";0.68;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212148_635";"0.0";5.0;54.0;"Pippip";0.85;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212148_635";1.3;4.6;16.0;"noise";0.586;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212153_635";"0.0";4.9;56.0;"Pippip";0.808;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212153_635";2.6;2.7;13.0;"noise";0.258;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212158_635";"0.0";0.5;49.0;"Pippip";0.754;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212203_465";"0.0";4.8;55.0;"Pippip";0.748;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212215_451";"0.0";4.0;55.0;"Pippip";0.566;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212223_825";"0.0";4.4;55.0;"Pippip";0.598;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212235_557";"0.0";3.8;55.0;"Pippip";0.582;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212246_209";"0.0";3.7;55.0;"Pippip";0.686;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212257_085";"0.0";3.1;56.0;"Pippip";0.656;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212307_026";"0.0";0.6;54.0;"Pippip";0.658;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212314_953";"0.0";4.4;55.0;"Pippip";0.616;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212326_204";"0.0";5.0;55.0;"Pippip";0.676;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212338_367";"0.0";4.7;55.0;"Pippip";0.646;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212350_310";"0.0";4.0;55.0;"Pippip";0.626;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212410_504";"0.0";3.6;55.0;"Pippip";0.698;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212421_229";"0.0";3.4;56.0;"Pippip";0.628;"Pippyg";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212428_977";"0.0";4.4;55.0;"Pippip";0.64;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212439_715";"0.0";4.4;55.0;"Pippip";0.66;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212456_945";"0.0";"0.0";51.0;"Pippip";0.446;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212505_101";"0.0";4.3;54.0;"Pippip";0.846;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212752_208";"0.0";4.7;22.0;"Nyclei";0.736;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_212757_208";0.1;2.8;22.0;"Nyclei";0.658;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_213021_709";"0.0";0.1;51.0;"Pippip";0.338;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_213037_211";"0.0";4.1;45.0;"Pippip";0.632;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_213346_155";"0.0";"0.0";17.0;"noise";0.482;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_213747_956";"0.0";3.9;55.0;"Pippip";0.814;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_213747_956";1.9;2.0;14.0;"noise";0.392;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_213810_895";"0.0";1.1;52.0;"Pippip";0.624;"";"";"";"";""
