"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car291547-2017-Pass1-Z1-017329_0_20170609_225408_372";"0.0";5.0;60.0;"Pippip";0.854;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225413_372";"0.0";5.0;54.0;"Pippip";0.794;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225413_372";3.6;4.7;33.0;"noise";0.414;"Testes, Leppun";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225418_372";"0.0";5.0;63.0;"Pippip";0.844;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225418_372";0.5;1.2;8.0;"piaf";0.598;"Phogri";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225418_372";3.1;3.2;34.0;"noise";0.336;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225423_372";"0.0";5.0;61.0;"Pippip";0.808;"noise";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225423_372";0.7;3.6;30.0;"noise";0.666;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225428_372";"0.0";5.0;54.0;"Pippip";0.798;"Pipkuh";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225433_372";"0.0";5.0;54.0;"Pippip";0.782;"Pipkuh";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225438_372";"0.0";5.0;60.0;"Pippip";0.808;"Pipkuh";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225438_372";2.5;4.6;13.0;"noise";0.404;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225443_372";"0.0";5.0;56.0;"Pippip";0.784;"Pipkuh, noise";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225443_372";0.8;0.9;91.0;"noise";0.55;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225448_372";"0.0";5.0;58.0;"Pippip";0.822;"noise, Pipkuh";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225448_372";2.3;2.7;33.0;"noise";0.36;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225453_372";"0.0";4.9;60.0;"Pippip";0.792;"noise, Pipkuh";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225453_372";"0.0";0.1;9.0;"noise";0.466;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225458_372";"0.0";5.0;54.0;"Pippip";0.736;"Pipkuh";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225458_372";3.4;3.6;9.0;"noise";0.344;"Phogri";"";"";"";""
