"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Cir440730-2016-Pass2-Tron1-Chiro_1_00144_945";0.3;0.5;57.0;"Pippip";0.296;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00149_943";"0.0";0.5;89.0;"noise";0.564;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00149_943";0.1;0.5;57.0;"Pippip";0.442;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00154_941";"0.0";0.5;119.0;"noise";0.608;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00154_941";"0.0";0.5;56.0;"Pippip";0.452;"Minsch, Pippyg";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00159_939";"0.0";0.5;91.0;"noise";0.588;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00159_939";0.3;0.4;46.0;"Pippip";0.496;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00164_937";"0.0";0.5;124.0;"noise";0.516;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00169_935";"0.0";0.5;122.0;"noise";0.708;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00174_933";"0.0";0.5;153.0;"noise";0.642;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00174_933";0.3;0.5;57.0;"Pippip";0.322;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00179_931";"0.0";0.5;119.0;"noise";0.618;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00179_931";"0.0";0.5;57.0;"Pippip";0.492;"Pippyg";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00184_930";"0.0";0.5;93.0;"noise";0.634;"Pippip";"";"";"";""
