"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_001520_557";"0.0";0.4;51.0;"Myodau";0.266;"Myonat, noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_002613_451";3.7;5.0;49.0;"Pippip";0.712;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_002938_010";"0.0";1.7;50.0;"Pippip";0.708;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_003109_205";"0.0";1.3;56.0;"Pippip";0.744;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_003307_089";"0.0";1.9;49.0;"Pippip";0.822;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_003501_052";"0.0";1.6;49.0;"Pippip";0.758;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_013339_013";4.8;5.0;60.0;"noise";0.256;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_021604_815";"0.0";5.0;46.0;"Myodau";0.256;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_025009_000";4.9;5.0;15.0;"noise";0.734;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_031201_607";"0.0";2.4;51.0;"Pippip";0.676;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_032116_893";"0.0";0.5;53.0;"Pippip";0.656;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_040114_215";"0.0";1.2;60.0;"noise";0.382;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_040114_215";"0.0";0.4;48.0;"Myocap";0.246;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_043533_091";"0.0";1.7;55.0;"Pippip";0.712;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_061235_101";"0.0";"0.0";13.0;"noise";0.586;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_204900_000";0.3;0.4;15.0;"noise";0.494;"";"";"";"";""
