;sp;ordre;famille;nom;nomscientific;indicateur;specialisation;especeOiseaux;nomscientific_long;shortlist
HIPOLI;HIPOLI;Passeriformes;Sylvides;Hypolaïs des oliviers;Hippolais olivetorum;FALSE;non;oui;Hippolais olivetorum;FALSE
HIPPAL;HIPPAL;Passeriformes;Sylvides;Hypolaïs pale;Hippolais pallida;FALSE;non;oui;Hippolais pallida;FALSE
HIPPOL;HIPPOL;Passeriformes;Sylvides;Hypolaïs polyglotte;Hippolais polyglotta;TRUE;generaliste;oui;Hippolais polyglotta;TRUE
HIRDAU;HIRDAU;Passeriformes;Hirundinides;Hirondelle rousseline;Hirundo daurica;FALSE;non;oui;Hirundo daurica;FALSE
HIRRUS;HIRRUS;Passeriformes;Hirundinides;Hirondelle rustique;Hirundo rustica;TRUE;milieux batis;oui;Hirundo rustica;TRUE
HISHIS;HISHIS;Anseriformes;Anatides;Arlequin plongeur;Histrionicus histrionicus;FALSE;non;oui;Histrionicus histrionicus;FALSE
HOPSPI;HOPSPI;Charadriiformes;Charadriides;Vanneau eperonne;Hoplopterus spinosus;FALSE;non;oui;Hoplopterus spinosus;FALSE
HYDPEL;HYDPEL;Procellariiformes;Hydrobatides;Oceanite tempete;Hydrobates pelagicus;FALSE;non;oui;Hydrobates pelagicus;FALSE
IXOMIN;IXOMIN;Ciconiiformes;Ardeides;Blongios nain;Ixobrychus minutus;FALSE;non;oui;Ixobrychus minutus;FALSE
JYNTOR;JYNTOR;Piciformes;Picides;Torcol fourmilier;Jynx torquilla;FALSE;non;oui;Jynx torquilla;TRUE
LAGLAG;LAGLAG;Galliformes;Tetraonides;Lagopede des saules;Lagopus lagopus;FALSE;non;oui;Lagopus lagopus;FALSE
LAGMUT;LAGMUT;Galliformes;Tetraonides;Lagopede alpin;Lagopus mutus;FALSE;non;oui;Lagopus mutus;FALSE
LANCOL;LANCOL;Passeriformes;Laniides;Pie-grieche ecorcheur;Lanius collurio;TRUE;milieux agricoles;oui;Lanius collurio;TRUE
LANEXC;LANEXC;Passeriformes;Laniides;Pie-grieche grise;Lanius excubitor;FALSE;non;oui;Lanius excubitor;TRUE
LANISA;LANISA;Passeriformes;Laniides;Pie-grieche isabelle;Lanius isabellinus;FALSE;non;oui;Lanius isabellinus Ehrenberg;FALSE
LANMER;LANMER;Passeriformes;Laniides;Pie-grieche meridionale;Lanius meridionalis;FALSE;non;oui;Lanius meridionalis Temminck;TRUE
LANMIN;LANMIN;Passeriformes;Laniides;Pie-grieche a  poitrine rose;Lanius minor;FALSE;non;oui;Lanius minor Gmelin;FALSE
LANSEN;LANSEN;Passeriformes;Laniides;Pie-grieche a  tete rousse;Lanius senator;FALSE;non;oui;Lanius senator;TRUE
LARARG;LARARG;Charadriiformes;Larides;Goeland argente;Larus argentatus;FALSE;non;oui;Larus argentatus Pontropp;TRUE
LARATR;LARATR;Charadriiformes;Larides;Mouette atricille;Larus atricilla;FALSE;non;oui;Larus atricilla;FALSE
LARAUD;LARAUD;Charadriiformes;Larides;Goeland d'Audouin;Larus audouinii;FALSE;non;oui;Larus audouinii Payraudeau;FALSE
