;sp;ordre;famille;nom;nomscientific;indicateur;specialisation;especeOiseaux;nomscientific_long;shortlist
STRROS;STRROS;Columbiformes;Columbidae;Tourterelle rieuse;Streptopelia roseogrisea;FALSE;non;oui;Streptopelia roseogrisea;FALSE
STRSEN;STRSEN;Columbiformes;Columbides;Tourterelle maillee;Streptopelia senegalensis;FALSE;non;oui;Streptopelia senegalensis;FALSE
STRTUR;STRTUR;Columbiformes;Columbides;Tourterelle des bois;Streptopelia turtur;FALSE;non;oui;Streptopelia turtur;TRUE
STRURA;STRURA;Strigiformes;Strigides;Chouette de l'Oural;Strix uralensis;FALSE;non;oui;Strix uralensis;FALSE
STUROS;STUROS;Passeriformes;Sturnides;etourneau roselin;Sturnus roseus;FALSE;non;oui;Sturnus roseus;FALSE
STUUNI;STUUNI;Passeriformes;Sturnides;etourneau unicolore;Sturnus unicolor;FALSE;non;oui;Sturnus unicolor Temminck;FALSE
STUVUL;STUVUL;Passeriformes;Sturnides;etourneau sansonnet;Sturnus vulgaris;FALSE;non;oui;Sturnus vulgaris;TRUE
SULBAS;SULBAS;Pelecaniformes;Sulides;Fou de Bassan;Sula bassana;FALSE;non;oui;Sula bassana;FALSE
SURULU;SURULU;Strigiformes;Strigides;Chouette eperviere;Surnia ulula;FALSE;non;oui;Surnia ulula;FALSE
SYLATR;SYLATR;Passeriformes;Sylvides;Fauvette a  tete noire;Sylvia atricapilla;TRUE;generaliste;oui;Sylvia atricapilla;TRUE
SYLBOR;SYLBOR;Passeriformes;Sylvides;Fauvette des jardins;Sylvia borin;FALSE;non;oui;Sylvia borin;TRUE
SYLCAN;SYLCAN;Passeriformes;Sylvides;Fauvette passerinette;Sylvia cantillans;FALSE;non;oui;Sylvia cantillans;TRUE
SYLCOM;SYLCOM;Passeriformes;Sylvides;Fauvette grisette;Sylvia communis;TRUE;milieux agricoles;oui;Sylvia communis Latham;TRUE
SYLCON;SYLCON;Passeriformes;Sylvides;Fauvette a  lunettes;Sylvia conspicillata;FALSE;non;oui;Sylvia conspicillata Temminck;FALSE
SYLCUR;SYLCUR;Passeriformes;Sylvides;Fauvette babillarde;Sylvia curruca;FALSE;non;oui;Sylvia curruca;TRUE
SYLHOR;SYLHOR;Passeriformes;Sylvides;Fauvette orphee;Sylvia hortensis;FALSE;non;oui;Sylvia hortensis;TRUE
SYLMEL;SYLMEL;Passeriformes;Sylvides;Fauvette melanocephale;Sylvia melanocephala;TRUE;milieux forestiers;oui;Sylvia melanocephala;TRUE
SYLNIS;SYLNIS;Passeriformes;Sylvides;Fauvette eperviere;Sylvia nisoria;FALSE;non;oui;Sylvia nisoria;FALSE
SYLRUE;SYLRUE;Passeriformes;Sylvides;Fauvette de Rüppell;Sylvia rueppelli;FALSE;non;oui;Sylvia rueppelli;FALSE
SYLSAR;SYLSAR;Passeriformes;Sylvides;Fauvette sarde;Sylvia sarda;FALSE;non;oui;Sylvia sarda Temminck;FALSE
SYLUND;SYLUND;Passeriformes;Sylvides;Fauvette pitchou;Sylvia undata;FALSE;non;oui;Sylvia undata;TRUE
SYRPAR;SYRPAR;Pteroclidides;Pteroclidides;Syrrhapte paradoxal;Syrrhaptes paradoxus;FALSE;non;oui;Syrrhaptes paradoxus;FALSE
SYRREE;SYRREE;Galliformes;Phasianides;Faisan venere;Syrmaticus reevesii;FALSE;non;oui;Syrmaticus reevesii;FALSE
TACRUF;TACRUF;Podicipediformes;Podicipedides;Grebe castagneux;Tachybaptus ruficollis;FALSE;non;oui;Tachybaptus ruficollis;TRUE
TADFER;TADFER;Anseriformes;Anatides;Tadorne casarca;Tadorna ferruginea;FALSE;non;oui;Tadorna ferruginea;FALSE
TADTAD;TADTAD;Anseriformes;Anatides;Tadorne de Belon;Tadorna tadorna;FALSE;non;oui;Tadorna tadorna;TRUE
TARCYA;TARCYA;Passeriformes;Turdides;Robin a  flancs roux;Tarsiger cyanurus;FALSE;non;oui;Tarsiger cyanurus;FALSE
TETRAX;TETRAX;Gruiformes;Otidides;Outarde canepetiere;Tetrax tetrax;FALSE;non;oui;Tetrax tetrax;TRUE
TETRIX;TETRIX;Galliformes;Tetraonides;Tetras lyre;Tetrao tetrix;FALSE;non;oui;Tetrao tetrix;TRUE
TETURO;TETURO;Galliformes;Tetraonides;Grand Tetras;Tetrao urogallus;FALSE;non;oui;Tetrao urogallus;FALSE
THRAET;THRAET;Ciconiiformes;Threskiornithides;Ibis sacre;Threskiornis aethiopicus;FALSE;non;oui;Threskiornis aethiopicus;TRUE
TICMUR;TICMUR;Passeriformes;Tichodronides;Tichodrome echelette;Tichodroma muraria;FALSE;non;oui;Tichodroma muraria;FALSE
TORTRA;TORTRA;Accipitriformes;Accipitrides;Vautour oricou;Torgos tracheliotus;FALSE;non;oui;Torgos tracheliotus;FALSE
TRICIN;TRICIN;Charadriiformes;Scolopacides;Chevalier bargette;Tringa cinerea;FALSE;non;oui;Tringa cinerea;FALSE
TRIERY;TRIERY;Charadriiformes;Scolopacides;Chevalier arlequin;Tringa erythropus;FALSE;non;oui;Tringa erythropus;FALSE
TRIFLA;TRIFLA;Charadriiformes;Scolopacides;Chevalier a  pattes jaunes;Tringa flavipes;FALSE;non;oui;Tringa flavipes;FALSE
TRIGLA;TRIGLA;Charadriiformes;Scolopacides;Chevalier sylvain;Tringa glareola;FALSE;non;oui;Tringa glareola;FALSE
TRIMEL;TRIMEL;Charadriiformes;Scolopacides;Chevalier criard;Tringa melanoleuca;FALSE;non;oui;Tringa melanoleuca;FALSE
TRINEB;TRINEB;Charadriiformes;Scolopacides;Chevalier aboyeur;Tringa nebularia;FALSE;non;oui;Tringa nebularia;FALSE
TRIOCH;TRIOCH;Charadriiformes;Scolopacides;Chevalier culblanc;Tringa ochropus;FALSE;non;oui;Tringa ochropus;FALSE
TRISOL;TRISOL;Charadriiformes;Scolopacides;Chevalier solitaire;Tringa solitaria;FALSE;non;oui;Tringa solitaria Wilson;FALSE
TRISTA;TRISTA;Charadriiformes;Scolopacides;Chevalier stagnatile;Tringa stagnatilis;FALSE;non;oui;Tringa stagnatilis;FALSE
TRITOT;TRITOT;Charadriiformes;Scolopacides;Chevalier gambette;Tringa totanus;FALSE;non;oui;Tringa totanus;TRUE
TROTRO;TROTRO;Passeriformes;Troglodytides;Troglodyte mignon;Troglodytes troglodytes;TRUE;milieux forestiers;oui;Troglodytes troglodytes;TRUE
TRYSUB;TRYSUB;Charadriiformes;Scolopacides;Becasseau rousset;Tryngites subruficollis;FALSE;non;oui;Tryngites subruficollis;FALSE
TURDUS;TURDUS;Passeriformes;Turdides;Turdide;Turdus ;FALSE;non;non;Turdus;FALSE
TURILI;TURILI;Passeriformes;Turdides;Grive mauvis;Turdus iliacus;FALSE;non;oui;Turdus iliacus;FALSE
TURMER;TURMER;Passeriformes;Turdides;Merle noir;Turdus merula;TRUE;generaliste;oui;Turdus merula;TRUE
TURNAU;TURNAU;Passeriformes;Turdides;Grive de Naumann;Turdus naumanni;FALSE;non;oui;Turdus naumanni Temminck;FALSE
TUROBS;TUROBS;Passeriformes;Turdides;Grive obscure;Turdus obscurus;FALSE;non;oui;Turdus obscurus Gmelin;FALSE
TURPHI;TURPHI;Passeriformes;Turdides;Grive musicienne;Turdus philomelos;TRUE;milieux forestiers;oui;Turdus philomelos Brehm;TRUE
TURPIL;TURPIL;Passeriformes;Turdides;Grive litorne;Turdus pilaris;FALSE;non;oui;Turdus pilaris;TRUE
TURRUF;TURRUF;Passeriformes;Turdides;Grive a  gorge noire ou rousse;Turdus ruficollis;FALSE;non;oui;Turdus ruficollis Pallas;FALSE
TURSYL;TURSYL;Galliformes;Turnicides;Turnix d'Andalousie;Turnix sylvatica;FALSE;non;oui;Turnix sylvatica;FALSE
TURTOR;TURTOR;Passeriformes;Turdides;Merle a  plastron;Turdus torquatus;FALSE;non;oui;Turdus torquatus;TRUE
TURVIS;TURVIS;Passeriformes;Turdides;Grive draine;Turdus viscivorus;TRUE;milieux forestiers;oui;Turdus viscivorus;TRUE
TYTALB;TYTALB;Strigiformes;Tytonides;Effraie des clochers;Tyto alba;FALSE;non;oui;Tyto alba;FALSE
UPUEPO;UPUEPO;Coraciiformes;Upupides;Huppe fasciee;Upupa epops;TRUE;milieux agricoles;oui;Upupa epops;TRUE
URIAAL;URIAAL;Charadriiformes;Alcides;Guillemot de Troïl;Uria aalge;FALSE;non;oui;Uria aalge;FALSE
URILOM;URILOM;Charadriiformes;Alcides;Guillemot de Brünnich;Uria lomvia;FALSE;non;oui;Uria lomvia;FALSE
VANVAN;VANVAN;Charadriiformes;Charadriides;Vanneau huppe;Vanellus vanellus;TRUE;milieux agricoles;oui;Vanellus vanellus;TRUE
VIROLI;VIROLI;Passeriformes;Vireonides;Vireo a  oeil rouge;Vireo olivaceus;FALSE;non;oui;Vireo olivaceus;FALSE
XENCIN;XENCIN;Charadriiformes;Scolopacides;Bargette du Terek;Xenus cinereus;FALSE;non;oui;Xenus cinereus;FALSE
ZOODAU;ZOODAU;Passeriformes;Turdides;Grive doree;Zoothera dauma;FALSE;non;oui;Zoothera dauma;FALSE
ZOOSIB;ZOOSIB;Passeriformes;Turdides;Grive de Siberie;Zoothera sibirica;FALSE;non;oui;Zoothera sibirica;FALSE

