"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"	"IdScore"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir90-2007-Pass2-Tron1-Chiro_0_00099_962"	"noise"	0	0.5	130	0.672	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0.002	0	0.006	0	0.008	0	0	0.004	0	0	0.002	0	0.028	0	0.392	0	0.002	0.044	0	0.004	0.008	0.008	0.11	0	0.008	0.004	0.006	0.082	0.004	0	0.008	0	0	0	0.038	0	0	0	0.002	0	0	0	0.01	0	0.008	0.01	0.014	0.006	0.004	0.01	0.004	0.044	0	0	0	0.002	0	0	0.002	"noise"	0.392	0.307406299876369	""	""	1	899.962	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00104_960"	"noise"	0	0.5	119	0.702	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0.002	0	0.006	0	0.008	0	0	0.004	0	0	0.002	0	0.028	0	0.394	0	0.002	0.044	0	0.004	0.008	0.008	0.1	0	0.01	0.004	0.006	0.086	0.004	0	0.008	0	0	0	0.036	0	0	0	0.002	0	0	0	0.01	0	0.008	0.01	0.014	0.006	0.004	0.01	0.004	0.044	0	0	0	0.002	0	0	0.002	"noise"	0.394	0.342550034363371	""	""	1	904.96	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00109_958"	"noise"	0	0.4	204	0.772	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0.002	0	0.004	0	0.008	0	0	0.004	0	0	0	0	0.026	0	0.38	0	0.002	0.044	0	0.002	0.01	0.008	0.084	0	0.014	0.004	0.006	0.078	0.004	0	0.008	0	0	0	0.034	0	0	0	0	0	0	0	0.008	0	0.008	0.01	0.018	0.006	0.004	0.01	0.004	0.052	0	0	0	0.002	0	0	0.002	"noise"	0.38	0.999998406482306	""	""	1	909.958	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00114_956"	"noise"	0	0.5	112	0.652	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0.006	0	0.01	0	0	0.004	0	0	0.002	0	0.028	0	0.388	0	0.002	0.042	0	0.008	0.01	0.008	0.104	0	0.004	0.004	0.008	0.078	0.004	0	0.008	0	0	0	0.036	0	0	0	0.002	0	0	0	0.012	0	0.01	0.01	0.016	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.388	0.811434087523133	""	""	1	914.956	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00119_954"	"noise"	0	0.5	114	0.648	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0.006	0	0.01	0	0	0.004	0	0	0.002	0	0.028	0	0.388	0	0.002	0.042	0	0.008	0.01	0.008	0.104	0	0.004	0.004	0.008	0.078	0.004	0	0.008	0	0	0	0.036	0	0	0	0.002	0	0	0	0.012	0	0.01	0.01	0.016	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.388	0.606477285383186	""	""	1	919.954	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00124_952"	"noise"	0	0.5	116	0.642	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0.006	0	0.01	0	0	0.004	0	0	0.002	0	0.028	0	0.39	0	0.002	0.042	0	0.008	0.012	0.008	0.104	0	0.004	0.004	0.008	0.078	0.004	0	0.008	0	0	0	0.036	0	0	0	0.002	0	0	0	0.012	0	0.01	0.01	0.016	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.39	0.999491837816735	""	""	1	924.952	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00129_950"	"noise"	0	0.5	120	0.67	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0.002	0	0.006	0	0.008	0	0	0.004	0	0	0.002	0	0.028	0	0.392	0	0.002	0.044	0	0.006	0.008	0.008	0.11	0	0.008	0.004	0.006	0.08	0.004	0	0.008	0	0	0	0.036	0	0	0	0.002	0	0	0	0.012	0	0.008	0.01	0.014	0.006	0.004	0.01	0.004	0.044	0	0	0	0.002	0	0	0.002	"noise"	0.392	0.388898673794933	""	""	1	929.95	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00134_949"	"noise"	0	0.5	111	0.538	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.04	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0.006	0	0.012	0	0	0.006	0	0	0.002	0	0.028	0	0.406	0	0.002	0.04	0	0.006	0.012	0.008	0.094	0	0.004	0.004	0.01	0.076	0.004	0	0.006	0	0	0	0.03	0	0	0	0.002	0	0	0	0.018	0	0.01	0.01	0.008	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.406	0.793817165216876	""	""	1	934.949	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00139_947"	"noise"	0	0.5	113	0.582	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.04	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0.006	0	0.012	0	0	0.004	0	0	0.002	0	0.028	0	0.398	0	0.002	0.04	0	0.008	0.012	0.008	0.106	0	0.004	0.004	0.01	0.076	0.004	0	0.006	0	0	0	0.03	0	0	0	0.002	0	0	0	0.014	0	0.01	0.01	0.008	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.398	0.783406007053156	""	""	1	939.947	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00144_945"	"noise"	0	0.5	138	0.708	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0.002	0	0.006	0	0.008	0	0	0.004	0	0	0.002	0	0.028	0	0.388	0	0.002	0.044	0	0.004	0.008	0.008	0.102	0	0.01	0.004	0.006	0.086	0.004	0	0.008	0	0	0	0.04	0	0	0	0.002	0	0	0	0.008	0	0.008	0.01	0.014	0.006	0.004	0.01	0.004	0.046	0	0	0	0.002	0	0	0.002	"noise"	0.388	0.76811338605839	""	""	1	944.945	"noise"	0
