"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antius"	"Antped"	"Antsor"	"Aposp"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicatr"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eupsp"	"gril"	"Hypsav"	"Insp11"	"Insp12"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Metsau"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Ptecor"	"Pteger"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetpyg"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"Zeuabb"	"ProbEsp_C2bs"	"IdScore"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car291547-2017-Pass1-Z1-017329_0_20170610_053738_824"	"noise"	0.6	3.6	11	0.706	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0.03	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.002	0	0	0.006	0	0.002	0	0.028	0.014	0	0.004	0	0	0	0	0	0.002	0.002	0.004	0.002	0.046	0	0.01	0	0	0	0	0	0	0	0.004	0.002	0	0.002	0.008	0.566	0.002	0.002	0.004	0	0.002	0.008	0	0.028	0.086	0	0.006	0.018	0.004	0.002	0	0	0.004	0	0.002	0.002	0	0	0	0	0	0	0.002	0	0.004	0.002	0.004	0	0.026	0	0	0	0.056	0	0	0	0	0	0	0	0	"noise"	0.566	0.940308951105469	""	""	"09/06/2017"	1497065858.824	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053743_824"	"noise"	1	3.7	23	0.546	"Pippip, Phogri, Tetvir"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.024	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0.004	0.002	0.008	0	0.022	0.008	0	0.012	0	0	0	0	0	0.002	0	0.008	0	0.018	0	0.018	0	0.002	0	0	0	0	0	0.002	0.002	0	0.002	0.012	0.604	0.002	0.008	0.006	0	0.006	0.008	0	0.04	0.036	0	0.002	0.016	0.004	0.006	0.002	0	0.004	0	0.006	0.004	0.006	0	0	0	0	0	0.002	0.004	0.004	0.004	0.01	0	0.006	0	0	0	0.052	0	0.006	0	0	0	0	0	0	"noise"	0.604	0.959330893386479	""	""	"09/06/2017"	1497065863.824	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053748_824"	"noise"	1.5	4.9	24	0.552	"piaf, Phogri, Tetvir"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.004	0	0.004	0.002	0.008	0	0.022	0.008	0	0.012	0	0	0	0	0	0.002	0	0.01	0	0.022	0	0.016	0	0.002	0	0	0	0.002	0	0.002	0.004	0	0.002	0.008	0.6	0.002	0.008	0.006	0	0.006	0.008	0	0.04	0.036	0	0.002	0.014	0.006	0.006	0.002	0	0.004	0	0.006	0.002	0.006	0	0	0.002	0	0	0.002	0.004	0.006	0.004	0.008	0	0.004	0	0	0	0.052	0	0.006	0	0	0	0	0	0	"noise"	0.6	0.957640034816146	""	""	"09/06/2017"	1497065868.824	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053753_824"	"Pippip"	3	3.1	46	0.424	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0.004	0.002	0.002	0	0	0.008	0	0	0.012	0.002	0.02	0.002	0.018	0	0.006	0.004	0	0	0	0	0.018	0.002	0.006	0.014	0.838	0.006	0	0	0	0	0	0	0	0	0	0.002	0	0	0.004	0	0	0	0	0.004	0.002	0	0	0	0	0.004	0	0	0	0	0	0	0	0	"Pippip"	0.838	0.967686876238132	""	""	"09/06/2017"	1497065873.824	"Pippip"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053753_824"	"noise"	0.1	3.6	19	0.586	"Pippip"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.002	0	0.006	0.002	0.006	0	0.022	0.008	0	0.01	0	0	0	0	0	0.002	0	0.016	0	0.024	0	0.012	0	0	0	0	0	0.002	0	0.004	0.002	0	0.002	0.008	0.62	0.002	0.006	0.004	0	0.006	0.012	0	0.04	0.036	0	0.002	0.014	0.008	0.004	0.002	0	0.002	0	0.006	0.002	0.004	0	0	0	0	0	0.002	0.002	0.006	0.004	0.004	0	0.006	0	0	0	0.04	0	0.004	0	0	0	0	0	0	"noise"	0.62	0.96546923143155	""	""	"09/06/2017"	1497065873.824	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053759_455"	"noise"	1.1	5	18	0.632	"Phogri"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.03	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.002	0	0.004	0.002	0.004	0	0.02	0.008	0	0.012	0	0	0	0	0	0.002	0	0.006	0	0.024	0	0.014	0	0	0	0	0	0.002	0	0.002	0.002	0	0.002	0.006	0.63	0.002	0.004	0.004	0	0.006	0.012	0	0.038	0.038	0	0.002	0.014	0.006	0.004	0.002	0	0.002	0	0.006	0.002	0.004	0	0	0	0	0	0.004	0	0.006	0.004	0.002	0	0.006	0	0	0	0.046	0	0.008	0	0	0	0	0	0	"noise"	0.63	0.968841413019741	""	""	"09/06/2017"	1497065879.455	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053804_455"	"noise"	0	0.7	12	0.582	"Tetvir"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.026	0	0	0	0	0.002	0	0	0.002	0	0	0	0.002	0	0	0	0	0.002	0	0.002	0.006	0.002	0.004	0	0.038	0.01	0	0.002	0	0	0	0	0	0.002	0.002	0.012	0	0.028	0	0.012	0	0	0	0	0	0	0	0	0	0	0.002	0.008	0.63	0.002	0.002	0.004	0	0.002	0.002	0	0.028	0.074	0	0.002	0.006	0.004	0.002	0.002	0	0.004	0	0.002	0.004	0.002	0	0	0	0	0	0.002	0	0	0.002	0.002	0	0.008	0	0	0	0.05	0	0	0	0	0	0	0	0	"noise"	0.63	0.968841413019741	""	""	"09/06/2017"	1497065884.455	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053807_828"	"noise"	0.4	1.6	20	0.454	"piaf, Phogri"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.028	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.004	0.002	0	0.004	0.002	0.004	0.004	0.04	0.01	0	0.01	0	0.002	0	0	0	0.002	0	0.004	0	0.012	0	0.03	0	0	0	0	0	0	0	0	0	0	0.002	0.012	0.606	0.002	0.004	0.006	0	0.002	0.012	0	0.034	0.05	0	0.002	0.008	0.002	0.006	0.002	0	0.002	0	0.008	0.006	0.002	0	0	0	0	0	0.002	0	0.004	0.006	0.01	0	0.004	0	0	0	0.038	0	0.006	0	0	0	0	0.002	0	"noise"	0.606	0.960151901792585	""	""	"09/06/2017"	1497065887.828	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053810_923"	"noise"	1.5	5	12	0.612	"Phogri"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.028	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.002	0	0.004	0.006	0.002	0.004	0	0.026	0.01	0	0.004	0	0	0	0	0	0.002	0.002	0.008	0.002	0.036	0	0.008	0	0	0	0	0	0.002	0	0.002	0.002	0	0.002	0.004	0.608	0.002	0.002	0.004	0	0.002	0.004	0	0.032	0.066	0	0.004	0.01	0.006	0.002	0.002	0	0.006	0	0.002	0.002	0.002	0	0	0	0	0	0.004	0	0.002	0.002	0.004	0	0.014	0	0	0	0.06	0	0	0	0	0	0	0	0	"noise"	0.608	0.960957010611128	""	""	"09/06/2017"	1497065890.923	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053821_255"	"Pippip"	2	2.4	47	0.528	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.004	0	0.002	0	0	0	0	0	0	0.002	0.012	0	0.004	0	0	0.004	0	0	0	0	0.02	0	0.008	0.012	0.906	0.004	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.004	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0	"Pippip"	0.906	0.981576374948647	""	""	"09/06/2017"	1497065901.255	"Pippip"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053821_255"	"noise"	2	3.1	18	0.462	"Phogri, Tetvir"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.028	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0.006	0	0.002	0.004	0.036	0.008	0	0.01	0	0.002	0	0	0	0.002	0	0.016	0	0.014	0	0.02	0	0	0	0	0	0	0	0.002	0	0	0.002	0.008	0.618	0.002	0.006	0.004	0	0.002	0.012	0	0.034	0.046	0	0.006	0.008	0.004	0.006	0.002	0	0.002	0	0.006	0.008	0.002	0	0	0	0	0	0.002	0	0.004	0.004	0.01	0	0.002	0	0	0	0.036	0	0.006	0	0	0	0	0.002	0	"noise"	0.618	0.964753756704659	""	""	"09/06/2017"	1497065901.255	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053824_849"	"noise"	0.1	3.9	19	0.534	"Tetvir"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.004	0	0.004	0.002	0.006	0	0.022	0.008	0	0.012	0	0	0	0	0	0.002	0	0.008	0	0.024	0	0.016	0	0	0	0	0	0.002	0	0.002	0.002	0	0.002	0.01	0.624	0.002	0.006	0.004	0	0.006	0.01	0	0.04	0.04	0	0.002	0.012	0.006	0.006	0.002	0	0.002	0	0.006	0.002	0.002	0	0	0	0	0	0.002	0	0.006	0.004	0.008	0	0.006	0	0	0	0.04	0	0.004	0	0	0	0	0	0	"noise"	0.624	0.966858391765875	""	""	"09/06/2017"	1497065904.849	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053831_475"	"noise"	0.1	2.5	12	0.712	"Phogri"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.028	0	0	0	0	0.002	0	0	0.002	0	0	0	0	0	0	0	0	0.002	0	0	0.006	0	0.002	0	0.034	0.012	0	0.004	0	0	0	0	0	0.002	0.002	0.006	0.002	0.048	0	0.01	0	0	0	0	0	0	0	0.002	0.002	0.002	0.002	0.01	0.57	0	0.002	0.006	0	0.002	0.006	0	0.024	0.092	0	0.004	0.016	0.002	0.002	0.002	0	0.002	0	0.002	0.002	0	0	0	0	0	0	0.002	0	0.002	0.002	0.002	0	0.022	0	0	0	0.056	0	0	0	0	0	0	0	0	"noise"	0.57	0.942650175396415	""	""	"09/06/2017"	1497065911.475	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053838_573"	"noise"	0.9	5	23	0.668	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0.03	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.004	0	0.004	0	0.006	0	0.024	0.01	0	0.012	0	0	0	0	0	0.002	0	0.01	0	0.022	0	0.016	0	0.002	0	0	0	0.002	0	0.004	0.002	0	0.002	0.008	0.588	0.002	0.006	0.006	0	0.004	0.012	0	0.038	0.04	0	0.002	0.028	0.006	0.004	0	0	0	0	0.006	0.002	0.004	0	0	0	0	0	0.004	0	0.006	0.004	0.004	0	0.01	0	0	0	0.054	0	0.006	0	0	0	0	0	0	"noise"	0.588	0.952155452059972	""	""	"09/06/2017"	1497065918.573	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053843_573"	"noise"	0.2	0.7	14	0.434	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0.024	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0.002	0	0.002	0	0.052	0.01	0	0.002	0	0.002	0	0	0	0.002	0	0.004	0	0.028	0	0.026	0	0	0	0	0	0	0	0	0	0	0.002	0.01	0.61	0.002	0.004	0.002	0	0.002	0.008	0	0.028	0.08	0	0.004	0.006	0.002	0.002	0.002	0	0.002	0	0.004	0.004	0.002	0	0	0	0	0	0.002	0	0.002	0.004	0.006	0	0.008	0	0	0	0.038	0.004	0	0	0	0	0	0	0	"noise"	0.61	0.961746500736831	""	""	"09/06/2017"	1497065923.573	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053850_894"	"noise"	0.7	3.9	19	0.564	"Phogri"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.004	0	0.004	0.002	0.006	0	0.022	0.008	0	0.012	0	0	0	0	0	0.002	0	0.006	0	0.02	0	0.018	0	0	0	0	0	0	0	0.002	0.002	0	0.002	0.01	0.628	0.002	0.008	0.004	0	0.006	0.012	0	0.04	0.036	0	0.002	0.012	0.006	0.004	0.002	0	0.004	0	0.006	0.004	0.004	0	0	0	0	0	0.002	0.002	0.006	0.004	0.004	0	0.004	0	0	0	0.042	0	0.004	0	0	0	0	0	0	"noise"	0.628	0.96819350777571	""	""	"09/06/2017"	1497065930.894	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053858_411"	"noise"	0	1.4	19	0.498	"Phogri"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.026	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.004	0.002	0	0.004	0.002	0.006	0	0.03	0.008	0	0.012	0	0.002	0	0	0	0.002	0	0.006	0	0.016	0	0.022	0	0	0	0	0	0	0	0	0.002	0	0.002	0.01	0.632	0.002	0.004	0.004	0	0.002	0.01	0	0.036	0.044	0	0.002	0.008	0.002	0.006	0.004	0	0.004	0	0.008	0.006	0.002	0	0	0	0	0	0.002	0	0.004	0.004	0.008	0	0.004	0	0	0	0.036	0	0.006	0	0	0	0	0.002	0	"noise"	0.632	0.969476536373348	""	""	"09/06/2017"	1497065938.411	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053902_536"	"noise"	1.1	4.1	16	0.65	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0.006	0.002	0.002	0.002	0	0.026	0.008	0	0.008	0	0	0	0	0	0.002	0	0.006	0	0.032	0	0.016	0	0	0	0	0	0	0	0.004	0.002	0	0.002	0.008	0.616	0.002	0.002	0.004	0	0.004	0.008	0	0.038	0.046	0	0.002	0.018	0.006	0.004	0.004	0	0.002	0	0.006	0.002	0.004	0	0	0	0	0	0.004	0	0.004	0.002	0.002	0	0.01	0	0	0	0.044	0	0.006	0	0	0	0	0	0	"noise"	0.616	0.964024009803212	""	""	"09/06/2017"	1497065942.536	"noise"	0
"Car291547-2017-Pass1-Z1-017329_0_20170610_053908_829"	"noise"	1.4	2.2	7	0.438	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0.02	0	0	0	0	0.002	0	0	0	0	0	0	0.002	0	0	0	0	0.002	0	0	0.004	0	0.002	0.002	0.074	0.01	0	0.002	0	0.002	0	0	0	0.002	0.002	0.008	0.002	0.026	0	0.024	0	0	0	0	0	0	0	0	0	0	0.002	0.01	0.584	0.002	0.004	0.004	0	0.002	0.004	0	0.018	0.09	0	0.004	0.008	0.002	0.002	0	0	0.002	0	0.004	0.004	0.002	0	0	0	0	0	0.002	0	0	0.004	0.006	0	0.014	0	0	0	0.038	0.002	0	0	0	0	0	0	0	"noise"	0.584	0.950181759510653	""	""	"09/06/2017"	1497065948.829	"noise"	0
