"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car340098-2019-Pass1-Z31-013676_20190329_205924_171"	0	2	27	"noise"	0.92	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.92	""	""	"29/03/2019"	1553885964.171	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_205926_831"	0.5	1.5	27	"noise"	0.78	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.78	""	""	"29/03/2019"	1553885966.831	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_205931_820"	0	3.9	32	"noise"	0.95	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.95	""	""	"29/03/2019"	1553885971.82	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_205936_820"	0.2	0.5	31	"noise"	0.85	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.85	""	""	"29/03/2019"	1553885976.82	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_205938_996"	0	1.6	17	"noise"	0.91	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.91	""	""	"29/03/2019"	1553885978.996	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_210100_204"	0	0.1	36	"Phogri"	0.1	"noise"	""	""	""	""	"5caba52defb48f000fcf28b1"	0.1	""	""	"29/03/2019"	1553886060.204	"Phogri"	0
"Car340098-2019-Pass1-Z31-013676_20190329_210146_047"	0	3.2	28	"noise"	0.99	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.99	""	""	"29/03/2019"	1553886106.047	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_210151_738"	0	4.8	18	"noise"	0.98	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.98	""	""	"29/03/2019"	1553886111.738	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_210151_738"	1	1.1	39	"Leppun"	0.03	"Tetvir"	""	""	""	""	"5caba52defb48f000fcf28b1"	0.03	""	""	"29/03/2019"	1553886111.738	"mec"	2
"Car340098-2019-Pass1-Z31-013676_20190329_210156_738"	0.6	0.8	26	"noise"	0.96	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.96	""	""	"29/03/2019"	1553886116.738	"noise"	0
