"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204447_042"	3.3	3.9	11	"noise"	0.91	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.91	""	""	"15/06/2012"	1339785887.042	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204452_042"	0.5	5	12	"noise"	0.95	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.95	""	""	"15/06/2012"	1339785892.042	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204457_043"	0	5	11	"noise"	0.91	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.91	""	""	"15/06/2012"	1339785897.043	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204507_044"	1.1	1.5	11	"noise"	0.95	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.95	""	""	"15/06/2012"	1339785907.044	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204537_048"	3.4	3.5	12	"noise"	0.08	"Phogri, Tetvir"	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.08	""	""	"15/06/2012"	1339785937.048	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204542_049"	0.1	4.1	11	"noise"	0.98	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.98	""	""	"15/06/2012"	1339785942.049	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204607_052"	1.2	1.3	11	"noise"	0.95	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.95	""	""	"15/06/2012"	1339785967.052	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204612_053"	3.6	3.7	11	"noise"	0.93	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.93	""	""	"15/06/2012"	1339785972.053	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204617_054"	0.6	4.8	21	"noise"	0.97	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.97	""	""	"15/06/2012"	1339785977.054	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204622_054"	1.5	1.6	76	"noise"	0.82	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.82	""	""	"15/06/2012"	1339785982.054	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204622_054"	1.5	1.8	12	"Tetvir"	0.36	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.36	""	""	"15/06/2012"	1339785982.054	"Tetvir"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204637_056"	0.1	4.8	12	"noise"	0.82	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.82	""	""	"15/06/2012"	1339785997.056	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204642_057"	0.7	3.8	11	"noise"	0.83	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.83	""	""	"15/06/2012"	1339786002.057	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204642_057"	0.5	0.6	34	"Leppun"	0.03	"Tetvir"	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.03	""	""	"15/06/2012"	1339786002.057	"Leppun"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204647_058"	1.6	3.1	12	"noise"	0.94	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.94	""	""	"15/06/2012"	1339786007.058	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204652_058"	0	4.8	12	"noise"	0.98	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.98	""	""	"15/06/2012"	1339786012.058	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204657_059"	0	5	12	"noise"	0.96	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.96	""	""	"15/06/2012"	1339786017.059	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204702_060"	0	5	12	"noise"	0.95	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.95	""	""	"15/06/2012"	1339786022.06	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204707_060"	0	5	11	"noise"	0.93	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.93	""	""	"15/06/2012"	1339786027.06	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204712_061"	0.5	4.5	12	"noise"	0.88	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.88	""	""	"15/06/2012"	1339786032.061	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204712_061"	1.3	1.6	46	"Myodau"	0.04	"Tetvir, Pippip, Pipkuh, Myomys"	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.04	""	""	"15/06/2012"	1339786032.061	"Myodau"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204717_062"	0	3.4	11	"noise"	0.87	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.87	""	""	"15/06/2012"	1339786037.062	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204737_064"	1.2	1.4	10	"noise"	0.92	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.92	""	""	"15/06/2012"	1339786057.064	"noise"	0
