"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir464-2016-Pass1-Tron1-Chiro_0_00105_000"	0	0.5	165	"noise"	0.84	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.84	""	""	1	905	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00105_000"	0.3	0.4	47	"Yerray"	0.04	"Tetvir, Pippip, Phogri"	""	""	""	""	"5cab967eefb48f0011b2f201"	0.04	""	""	1	905	"Yerray"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00110_000"	0	0.5	125	"noise"	0.76	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.76	""	""	1	910	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00115_000"	0	0.5	97	"noise"	0.87	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.87	""	""	1	915	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00115_000"	0.1	0.2	12	"Phogri"	0.15	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.15	""	""	1	915	"Phogri"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00120_000"	0	0.5	113	"noise"	0.9	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.9	""	""	1	920	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00120_000"	0.3	0.5	32	"Hypsav"	0.1	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.1	""	""	1	920	"Hypsav"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00125_000"	0.1	0.5	154	"noise"	0.91	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.91	""	""	1	925	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00125_000"	0	0.2	31	"Hypsav"	0.1	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.1	""	""	1	925	"Hypsav"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00130_000"	0	0.5	190	"noise"	0.9	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.9	""	""	1	930	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00130_000"	0	0.1	33	"Pipkuh"	0.03	"Hypsav, Pippip"	""	""	""	""	"5cab967eefb48f0011b2f201"	0.03	""	""	1	930	"Pipkuh"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00135_000"	0	0.5	103	"noise"	0.79	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.79	""	""	1	935	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00135_000"	0.4	0.5	47	"Pippip"	0.18	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.18	""	""	1	935	"Pippip"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00140_000"	0	0.5	90	"noise"	0.95	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.95	""	""	1	940	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00140_000"	0	0.1	36	"Leppun"	0.04	"Tetvir, Pippip, Pipkuh"	""	""	""	""	"5cab967eefb48f0011b2f201"	0.04	""	""	1	940	"Leppun"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00145_000"	0.1	0.5	130	"noise"	0.91	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.91	""	""	1	945	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00150_000"	0	0.5	109	"noise"	0.95	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.95	""	""	1	950	"noise"	0
