;sp;ordre;famille;nom;nomscientific;indicateur;specialisation;especeOiseaux;nomscientific_long;shortlist
PODNIG;PODNIG;Podicipédiformes;Podicipédidés;Grèbe à  cou noir;Podiceps nigricollis;FALSE;non;oui;Podiceps nigricollis Brehm;FALSE
PODPOD;PODPOD;Podicipédiformes;Podicipédidés;Grèbe à  bec bigarré;Podilymbus podiceps;FALSE;non;oui;Podilymbus podiceps;FALSE
POLSTE;POLSTE;Ansériformes;Anatidés;Eider de Steller;Polysticta stelleri;FALSE;non;oui;Polysticta stelleri;FALSE
PORALL;PORALL;Gruiformes;Rallidés;Talève d'Allen;Porphyrula alleni;FALSE;non;oui;Porphyrula alleni;FALSE
PORCAR;PORCAR;Gruiformes;Rallidés;Marouette de Caroline;Porzana carolina;FALSE;non;oui;Porzana carolina;FALSE
PORPAR;PORPAR;Gruiformes;Rallidés;Marouette poussin;Porzana parva;FALSE;non;oui;Porzana parva;FALSE
PORPOR;PORPOR;Gruiformes;Rallidés;Marouette ponctuée;Porzana porzana;FALSE;non;oui;Porzana porzana;FALSE
PORPUS;PORPUS;Gruiformes;Rallidés;Marouette de Baillon;Porzana pusilla;FALSE;non;oui;Porzana pusilla;FALSE
PORRIO;PORRIO;Gruiformes;Rallidés;Talève sultane;Porphyrio porphyrio;FALSE;non;oui;Porphyrio porphyrio;FALSE
PRUCOL;PRUCOL;Passériformes;Prunellidés;Accenteur alpin;Prunella collaris;FALSE;non;oui;Prunella collaris;TRUE
PRUMOD;PRUMOD;Passériformes;Prunellidés;Accenteur mouchet;Prunella modularis;TRUE;generaliste;oui;Prunella modularis;TRUE
PSIKRA;PSIKRA;Psittaciformes;Psittacidés;Perruche à  collier;Psittacula krameri;FALSE;non;oui;Psittacula krameri;FALSE
PTEALC;PTEALC;Ptéroclididés;Ptéroclididés;Ganga cata;Pterocles alchata;FALSE;non;oui;Pterocles alchata;FALSE
PTEORI;PTEORI;Ptéroclididés;Ptéroclididés;Ganga unibande;Pterocles orientalis;FALSE;non;oui;Pterocles orientalis;FALSE
PTYRUP;PTYRUP;Passériformes;Hirundinidés;Hirondelle de rochers;Ptyonoprogne rupestris;FALSE;non;oui;Ptyonoprogne rupestris;TRUE
PUFASS;PUFASS;Procellariiformes;Procéllariidés;Puffin semblable;Puffinus assimilis;FALSE;non;oui;Puffinus assimilis Gould;FALSE
PUFGRA;PUFGRA;Procellariiformes;Procéllariidés;Puffin majeur;Puffinus gravis;FALSE;non;oui;Puffinus gravis;FALSE
PUFGRI;PUFGRI;Procellariiformes;Procéllariidés;Puffin fuligineux;Puffinus griseus;FALSE;non;oui;Puffinus griseus;FALSE
PUFPUF;PUFPUF;Procellariiformes;Procéllariidés;Puffin des Anglais;Puffinus puffinus;FALSE;non;oui;Puffinus puffinus;FALSE
PUFYEL;PUFYEL;Procellariiformes;Procéllariidés;Puffin de Méditerranée;Puffinus yelkouan;FALSE;non;oui;Puffinus yelkouan;FALSE
PYRGRA;PYRGRA;Passériformes;Corvidés;Chocard à  bec jaune;Pyrrhocorax graculus;FALSE;non;oui;Pyrrhocorax graculus;TRUE
PYRPYR;PYRPYR;Passériformes;Fringillidés;Bouvreuil pivoine;Pyrrhula pyrrhula;TRUE;milieux forestiers;oui;Pyrrhula pyrrhula;TRUE
PYRRAX;PYRRAX;Passériformes;Corvidés;Crave à  bec rouge;Pyrrhocorax pyrrhocorax;FALSE;non;oui;Pyrrhocorax pyrrhocorax;TRUE
RALAQU;RALAQU;Gruiformes;Rallidés;Rale d'eau;Rallus aquaticus;FALSE;non;oui;Rallus aquaticus;TRUE
RAPACE;RAPACE;Accipitriformes;;Rapace sp; ;FALSE;non;non;;FALSE
RECAVO;RECAVO;Charadriiformes;Recurvirostridés;Avocette élégante;Recurvirostra avosetta;FALSE;non;oui;Recurvirostra avosetta;TRUE
REGIGN;REGIGN;Passériformes;Sylvidés;Roitelet à  triple bandeau;Regulus ignicapillus;TRUE;milieux forestiers;oui;Regulus ignicapillus;TRUE
REGREG;REGREG;Passériformes;Sylvidés;Roitelet huppé;Regulus regulus;TRUE;milieux forestiers;oui;Regulus regulus;TRUE
REMPEN;REMPEN;Passériformes;Rémizidés;Rémiz penduline;Remiz pendulinus;FALSE;non;oui;Remiz pendulinus;FALSE
RHOGIT;RHOGIT;Passériformes;Fringillidés;Roselin githagine;Rhodopechys githaginea;FALSE;non;oui;Rhodopechys githaginea;FALSE
RHOROS;RHOROS;Charadriiformes;Laridés;Mouette de Ross;Rhodostethia rosea;FALSE;non;oui;Rhodostethia rosea;FALSE
RIPRIP;RIPRIP;Passériformes;Hirundinidés;Hirondelle de rivage;Riparia riparia;FALSE;non;oui;Riparia riparia;TRUE
RISTRI;RISTRI;Charadriiformes;Laridés;Mouette tridactyle;Rissa tridactyla;FALSE;non;oui;Rissa tridactyla;FALSE
ROSBEN;ROSBEN;Scolopacidés;Scolopacidés;Bécassine peinte;Rostratula bengalensis;FALSE;non;oui;Rostratula bengalensis;FALSE
SAXRUB;SAXRUB;Passériformes;Turdidés;Tarier des prés;Saxicola rubetra;TRUE;milieux agricoles;oui;Saxicola rubetra;TRUE
SAXTOR;SAXTOR;Passériformes;Turdidés;Tarier patre;Saxicola torquata;TRUE;milieux agricoles;oui;Saxicola torquata;TRUE
SCORUS;SCORUS;Charadriiformes;Scolopacidés;Bécasse des bois;Scolopax rusticola;FALSE;non;oui;Scolopax rusticola;FALSE
SEINOV;SEINOV;Passériformes;Parulidés;Paruline des ruisseaux;Seiurus noveboracensis;FALSE;non;oui;Seiurus noveboracensis Gmelin;FALSE
SERCIT;SERCIT;Passériformes;Fringillidés;Venturon montagnard;Serinus citrinella;FALSE;non;oui;Serinus citrinella;TRUE
SERCOR;SERCOR;Passériformes;Fringillidés;Venturon corse;Serinus corsicanus;FALSE;non;oui;Serinus corsicanus;FALSE
SERSER;SERSER;Passériformes;Fringillidés;Serin cini;Serinus serinus;TRUE;milieux batis;oui;Serinus serinus;TRUE
SETRUT;SETRUT;Passériformes;Parulidés;Paruline flamboyante;Setophaga ruticilla;FALSE;non;oui;Setophaga ruticilla;FALSE
SITEUR;SITEUR;Passériformes;Sittidés;Sittelle torchepot;Sitta europaea;TRUE;milieux forestiers;oui;Sitta europaea;TRUE
SITNEU;SITNEU;Passériformes;Sittidés;Sittelle des rochers;Sitta neumayer;FALSE;non;oui;Sitta neumayer;FALSE
SITWHI;SITWHI;Passériformes;Sittidés;Sittelle corse;Sitta whiteheadi;FALSE;non;oui;Sitta whiteheadi Sharpe;FALSE
SOMMOL;SOMMOL;Ansériformes;Anatidés;Eider à  duvet;Somateria mollissima;FALSE;non;oui;Somateria mollissima;FALSE
STEALB;STEALB;Charadriiformes;Sternidés;Sterne naine;Sterna albifrons;FALSE;non;oui;Sterna albifrons Pallas;FALSE
STEANA;STEANA;Charadriiformes;Sternidés;Sterne bridée;Sterna anaethetus;FALSE;non;oui;Sterna anaethetus Scopoli;FALSE
STEBEN;STEBEN;Charadriiformes;Sternidés;Sterne voyageuse;Sterna bengalensis;FALSE;non;oui;Sterna bengalensis Lesson;FALSE
STECAS;STECAS;Charadriiformes;Sternidés;Sterne caspienne;Sterna caspia;FALSE;non;oui;Sterna caspia Pallas;FALSE
STECUS;STECUS;Charadriiformes;Stercorariidés;Labbe parasite;Stercorarius parasiticus;FALSE;non;oui;Stercorarius parasiticus;FALSE
STEDOU;STEDOU;Charadriiformes;Sternidés;Sterne de Dougall;Sterna dougallii;FALSE;non;oui;Sterna dougallii Montagu;FALSE
STEELE;STEELE;Charadriiformes;Sternidés;Sterne élégante;Sterna elegans;FALSE;non;oui;Sterna elegans Gambel;FALSE
STEFUS;STEFUS;Charadriiformes;Sternidés;Sterne fuligineuse;Sterna fuscata;FALSE;non;oui;Sterna fuscata;FALSE
STEHIR;STEHIR;Charadriiformes;Sternidés;Sterne pierregarin;Sterna hirundo;FALSE;non;oui;Sterna hirundo;TRUE
STELON;STELON;Charadriiformes;Stercorariidés;Labbe à  longue queue;Stercorarius longicaudus;FALSE;non;oui;Stercorarius longicaudus Vieillot;FALSE
STEMAX;STEMAX;Sternidés;Sternidés;Sterne royale;Sterna maxima;FALSE;non;oui;Sterna maxima;FALSE
STEPAR;STEPAR;Charadriiformes;Sternidés;Sterne arctique;Sterna paradisaea;FALSE;non;oui;Sterna paradisaea Pontropp;FALSE
STEPOM;STEPOM;Charadriiformes;Stercorariidés;Labbe pomarin;Stercorarius pomarinus;FALSE;non;oui;Stercorarius pomarinus;FALSE
STESAN;STESAN;Charadriiformes;Sternidés;Sterne caugek;Sterna sandvicensis;FALSE;non;oui;Sterna sandvicensis Latham;FALSE
STESKU;STESKU;Charadriiformes;Stercorariidés;Grand Labbe;Stercorarius skua;FALSE;non;oui;Stercorarius skua;FALSE
STRALU;STRALU;Strigiformes;Strigidés;Chouette hulotte;Strix aluco;FALSE;non;oui;Strix aluco;FALSE
STRDEC;STRDEC;Columbiformes;Columbidés;Tourterelle turque;Streptopelia decaocto;TRUE;milieux batis;oui;Streptopelia decaocto;TRUE
STRNEB;STRNEB;Strigiformes;Strigidés;Chouette lapone;Strix nebulosa;FALSE;non;oui;Strix nebulosa;FALSE
STRORI;STRORI;Columbiformes;Columbidés;Tourterelle orientale;Streptopelia orientalis;FALSE;non;oui;Streptopelia orientalis;FALSE
STRROS;STRROS;Columbiformes;Columbidae;Tourterelle rieuse;Streptopelia roseogrisea;FALSE;non;oui;Streptopelia roseogrisea;FALSE
STRSEN;STRSEN;Columbiformes;Columbidés;Tourterelle maillée;Streptopelia senegalensis;FALSE;non;oui;Streptopelia senegalensis;FALSE
STRTUR;STRTUR;Columbiformes;Columbidés;Tourterelle des bois;Streptopelia turtur;FALSE;non;oui;Streptopelia turtur;TRUE
STRURA;STRURA;Strigiformes;Strigidés;Chouette de l'Oural;Strix uralensis;FALSE;non;oui;Strix uralensis;FALSE
STUROS;STUROS;Passériformes;Sturnidés;étourneau roselin;Sturnus roseus;FALSE;non;oui;Sturnus roseus;FALSE
STUUNI;STUUNI;Passériformes;Sturnidés;étourneau unicolore;Sturnus unicolor;FALSE;non;oui;Sturnus unicolor Temminck;FALSE
STUVUL;STUVUL;Passériformes;Sturnidés;étourneau sansonnet;Sturnus vulgaris;FALSE;non;oui;Sturnus vulgaris;TRUE
SULBAS;SULBAS;Pélécaniformes;Sulidés;Fou de Bassan;Sula bassana;FALSE;non;oui;Sula bassana;FALSE
SURULU;SURULU;Strigiformes;Strigidés;Chouette épervière;Surnia ulula;FALSE;non;oui;Surnia ulula;FALSE
SYLATR;SYLATR;Passériformes;Sylvidés;Fauvette à  tête noire;Sylvia atricapilla;TRUE;generaliste;oui;Sylvia atricapilla;TRUE
SYLBOR;SYLBOR;Passériformes;Sylvidés;Fauvette des jardins;Sylvia borin;FALSE;non;oui;Sylvia borin;TRUE
SYLCAN;SYLCAN;Passériformes;Sylvidés;Fauvette passerinette;Sylvia cantillans;FALSE;non;oui;Sylvia cantillans;TRUE
SYLCOM;SYLCOM;Passériformes;Sylvidés;Fauvette grisette;Sylvia communis;TRUE;milieux agricoles;oui;Sylvia communis Latham;TRUE
SYLCON;SYLCON;Passériformes;Sylvidés;Fauvette à  lunettes;Sylvia conspicillata;FALSE;non;oui;Sylvia conspicillata Temminck;FALSE
SYLCUR;SYLCUR;Passériformes;Sylvidés;Fauvette babillarde;Sylvia curruca;FALSE;non;oui;Sylvia curruca;TRUE
SYLHOR;SYLHOR;Passériformes;Sylvidés;Fauvette orphée;Sylvia hortensis;FALSE;non;oui;Sylvia hortensis;TRUE
SYLMEL;SYLMEL;Passériformes;Sylvidés;Fauvette mélanocéphale;Sylvia melanocephala;TRUE;milieux forestiers;oui;Sylvia melanocephala;TRUE
SYLNIS;SYLNIS;Passériformes;Sylvidés;Fauvette épervière;Sylvia nisoria;FALSE;non;oui;Sylvia nisoria;FALSE
SYLRUE;SYLRUE;Passériformes;Sylvidés;Fauvette de Rüppell;Sylvia rueppelli;FALSE;non;oui;Sylvia rueppelli;FALSE
SYLSAR;SYLSAR;Passériformes;Sylvidés;Fauvette sarde;Sylvia sarda;FALSE;non;oui;Sylvia sarda Temminck;FALSE
SYLUND;SYLUND;Passériformes;Sylvidés;Fauvette pitchou;Sylvia undata;FALSE;non;oui;Sylvia undata;TRUE
SYRPAR;SYRPAR;Ptéroclididés;Ptéroclididés;Syrrhapte paradoxal;Syrrhaptes paradoxus;FALSE;non;oui;Syrrhaptes paradoxus;FALSE
SYRREE;SYRREE;Galliformes;Phasianidés;Faisan vénéré;Syrmaticus reevesii;FALSE;non;oui;Syrmaticus reevesii;FALSE
TACRUF;TACRUF;Podicipédiformes;Podicipédidés;Grèbe castagneux;Tachybaptus ruficollis;FALSE;non;oui;Tachybaptus ruficollis;TRUE
TADFER;TADFER;Ansériformes;Anatidés;Tadorne casarca;Tadorna ferruginea;FALSE;non;oui;Tadorna ferruginea;FALSE
TADTAD;TADTAD;Ansériformes;Anatidés;Tadorne de Belon;Tadorna tadorna;FALSE;non;oui;Tadorna tadorna;TRUE
TARCYA;TARCYA;Passériformes;Turdidés;Robin à  flancs roux;Tarsiger cyanurus;FALSE;non;oui;Tarsiger cyanurus;FALSE
TETRAX;TETRAX;Gruiformes;Otididés;Outarde canepetière;Tetrax tetrax;FALSE;non;oui;Tetrax tetrax;TRUE
TETRIX;TETRIX;Galliformes;Tétraonidés;Tétras lyre;Tetrao tetrix;FALSE;non;oui;Tetrao tetrix;TRUE
TETURO;TETURO;Galliformes;Tétraonidés;Grand Tétras;Tetrao urogallus;FALSE;non;oui;Tetrao urogallus;FALSE
THRAET;THRAET;Ciconiiformes;Threskiornithidés;Ibis sacré;Threskiornis aethiopicus;FALSE;non;oui;Threskiornis aethiopicus;TRUE
TICMUR;TICMUR;Passériformes;Tichodronidés;Tichodrome échelette;Tichodroma muraria;FALSE;non;oui;Tichodroma muraria;FALSE
TORTRA;TORTRA;Accipitriformes;Accipitridés;Vautour oricou;Torgos tracheliotus;FALSE;non;oui;Torgos tracheliotus;FALSE
TRICIN;TRICIN;Charadriiformes;Scolopacidés;Chevalier bargette;Tringa cinerea;FALSE;non;oui;Tringa cinerea;FALSE
TRIERY;TRIERY;Charadriiformes;Scolopacidés;Chevalier arlequin;Tringa erythropus;FALSE;non;oui;Tringa erythropus;FALSE
TRIFLA;TRIFLA;Charadriiformes;Scolopacidés;Chevalier à  pattes jaunes;Tringa flavipes;FALSE;non;oui;Tringa flavipes;FALSE
TRIGLA;TRIGLA;Charadriiformes;Scolopacidés;Chevalier sylvain;Tringa glareola;FALSE;non;oui;Tringa glareola;FALSE
TRIMEL;TRIMEL;Charadriiformes;Scolopacidés;Chevalier criard;Tringa melanoleuca;FALSE;non;oui;Tringa melanoleuca;FALSE
TRINEB;TRINEB;Charadriiformes;Scolopacidés;Chevalier aboyeur;Tringa nebularia;FALSE;non;oui;Tringa nebularia;FALSE
TRIOCH;TRIOCH;Charadriiformes;Scolopacidés;Chevalier culblanc;Tringa ochropus;FALSE;non;oui;Tringa ochropus;FALSE
TRISOL;TRISOL;Charadriiformes;Scolopacidés;Chevalier solitaire;Tringa solitaria;FALSE;non;oui;Tringa solitaria Wilson;FALSE
TRISTA;TRISTA;Charadriiformes;Scolopacidés;Chevalier stagnatile;Tringa stagnatilis;FALSE;non;oui;Tringa stagnatilis;FALSE
TRITOT;TRITOT;Charadriiformes;Scolopacidés;Chevalier gambette;Tringa totanus;FALSE;non;oui;Tringa totanus;TRUE
TROTRO;TROTRO;Passériformes;Troglodytidés;Troglodyte mignon;Troglodytes troglodytes;TRUE;milieux forestiers;oui;Troglodytes troglodytes;TRUE
TRYSUB;TRYSUB;Charadriiformes;Scolopacidés;Bécasseau rousset;Tryngites subruficollis;FALSE;non;oui;Tryngites subruficollis;FALSE
TURDUS;TURDUS;Passériformes;Turdidés;Turdidé;Turdus ;FALSE;non;non;Turdus;FALSE
TURILI;TURILI;Passériformes;Turdidés;Grive mauvis;Turdus iliacus;FALSE;non;oui;Turdus iliacus;FALSE
TURMER;TURMER;Passériformes;Turdidés;Merle noir;Turdus merula;TRUE;generaliste;oui;Turdus merula;TRUE
TURNAU;TURNAU;Passériformes;Turdidés;Grive de Naumann;Turdus naumanni;FALSE;non;oui;Turdus naumanni Temminck;FALSE
TUROBS;TUROBS;Passériformes;Turdidés;Grive obscure;Turdus obscurus;FALSE;non;oui;Turdus obscurus Gmelin;FALSE
TURPHI;TURPHI;Passériformes;Turdidés;Grive musicienne;Turdus philomelos;TRUE;milieux forestiers;oui;Turdus philomelos Brehm;TRUE
TURPIL;TURPIL;Passériformes;Turdidés;Grive litorne;Turdus pilaris;FALSE;non;oui;Turdus pilaris;TRUE
TURRUF;TURRUF;Passériformes;Turdidés;Grive à  gorge noire ou rousse;Turdus ruficollis;FALSE;non;oui;Turdus ruficollis Pallas;FALSE
TURSYL;TURSYL;Galliformes;Turnicidés;Turnix d'Andalousie;Turnix sylvatica;FALSE;non;oui;Turnix sylvatica;FALSE
TURTOR;TURTOR;Passériformes;Turdidés;Merle à  plastron;Turdus torquatus;FALSE;non;oui;Turdus torquatus;TRUE
TURVIS;TURVIS;Passériformes;Turdidés;Grive draine;Turdus viscivorus;TRUE;milieux forestiers;oui;Turdus viscivorus;TRUE
TYTALB;TYTALB;Strigiformes;Tytonidés;Effraie des clochers;Tyto alba;FALSE;non;oui;Tyto alba;FALSE
UPUEPO;UPUEPO;Coraciiformes;Upupidés;Huppe fasciée;Upupa epops;TRUE;milieux agricoles;oui;Upupa epops;TRUE
URIAAL;URIAAL;Charadriiformes;Alcidés;Guillemot de Troïl;Uria aalge;FALSE;non;oui;Uria aalge;FALSE
URILOM;URILOM;Charadriiformes;Alcidés;Guillemot de Brünnich;Uria lomvia;FALSE;non;oui;Uria lomvia;FALSE
VANVAN;VANVAN;Charadriiformes;Charadriidés;Vanneau huppé;Vanellus vanellus;TRUE;milieux agricoles;oui;Vanellus vanellus;TRUE
VIROLI;VIROLI;Passériformes;Viréonidés;Viréo à  oeil rouge;Vireo olivaceus;FALSE;non;oui;Vireo olivaceus;FALSE
XENCIN;XENCIN;Charadriiformes;Scolopacidés;Bargette du Térek;Xenus cinereus;FALSE;non;oui;Xenus cinereus;FALSE
ZOODAU;ZOODAU;Passériformes;Turdidés;Grive dorée;Zoothera dauma;FALSE;non;oui;Zoothera dauma;FALSE
ZOOSIB;ZOOSIB;Passériformes;Turdidés;Grive de Sibérie;Zoothera sibirica;FALSE;non;oui;Zoothera sibirica;FALSE

