;sp;ordre;famille;nom;nomscientific;indicateur;specialisation;especeOiseaux;nomscientific_long;shortlist
DELURB;DELURB;Passériformes;Hirundinidés;Hirondelle de fenêtre;Delichon urbica;TRUE;milieux batis;oui;Delichon urbica;TRUE
DENLEU;DENLEU;Piciformes;Picidés;Pic à  dos blanc;Dendrocopos leucotos;FALSE;non;oui;Dendrocopos leucotos;FALSE
DENMAJ;DENMAJ;Piciformes;Picidés;Pic épeiche;Dendrocopos major;TRUE;milieux forestiers;oui;Dendrocopos major;TRUE
DENMED;DENMED;Piciformes;Picidés;Pic mar;Dendrocopos medius;TRUE;milieux forestiers;oui;Dendrocopos medius;TRUE
DENMIN;DENMIN;Piciformes;Picidés;Pic épeichette;Dendrocopos minor;FALSE;non;oui;Dendrocopos minor;TRUE
DENSTR;DENSTR;Passériformes;Parulidés;Paruline rayée;Dendroica striata;FALSE;non;oui;Dendroica striata;FALSE
DENSYR;DENSYR;Piciformes;Picidés;Pic syriaque;Dendrocopos syriacus;FALSE;non;oui;Dendrocopos syriacus;FALSE
DENVID;DENVID;Anatidés;Anatidés;Dendrocygne veuf;Dendrocygna viduata;FALSE;non;oui;Dendrocygna viduata;FALSE
DIOEXU;DIOEXU;Procellariiformes;Diomédéidés;Albatros hurleur;Diomedea exulans;FALSE;non;oui;Diomedea exulans;FALSE
DIOMEL;DIOMEL;Procellariiformes;Diomédéidés;Albatros à  sourcils noirs;Diomedea melanophrys;FALSE;non;oui;Diomedea melanophrys Temm.;FALSE
DRYMAR;DRYMAR;Piciformes;Picidés;Pic noir;Dryocopus martius;TRUE;milieux forestiers;oui;Dryocopus martius;TRUE
EGRALB;EGRALB;Ciconiiformes;Ardéidés;Grande Aigrette;Egretta alba;FALSE;non;oui;Egretta alba;FALSE
EGRGAR;EGRGAR;Ciconiiformes;Ardéidés;Aigrette garzette;Egretta garzetta;FALSE;non;oui;Egretta garzetta;TRUE
EGRGUL;EGRGUL;Ciconiiformes;Ardéidés;Aigrette des récifs;Egretta gularis;FALSE;non;oui;Egretta gularis;FALSE
ELACAE;ELACAE;Accipitriformes;Accipitridés;Elanion blanc;Elanus caeruleus;FALSE;non;oui;Elanus caeruleus;FALSE
EMBAUR;EMBAUR;Passériformes;Embérizidés;Bruant auréole;Emberiza aureola;FALSE;non;oui;Emberiza aureola Pallas;FALSE
EMBCAE;EMBCAE;Passériformes;Embérizidés;Bruant cendrillard;Emberiza caesia;FALSE;non;oui;Emberiza caesia Cretzsch.;FALSE
EMBCIA;EMBCIA;Passériformes;Embérizidés;Bruant fou;Emberiza cia;FALSE;non;oui;Emberiza cia;TRUE
EMBCIR;EMBCIR;Passériformes;Embérizidés;Bruant zizi;Emberiza cirlus;TRUE;milieux agricoles;oui;Emberiza cirlus;TRUE
