"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_005611_657"	1.5	1.6	10	"noise"	0.94	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_005958_222"	1.3	2	19	"noise"	0.98	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_005958_222"	1.5	1.8	24	"Plaint"	0.03	"Phogri, Tetvir"	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_010003_672"	0	3	8	"noise"	0.97	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_013204_811"	0	2	26	"noise"	0.7	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_013626_094"	0	1.9	20	"noise"	0.95	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_013626_094"	0	1.9	9	"piaf"	0.73	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_031249_464"	0	0.2	108	"noise"	0.31	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_031249_464"	3.2	3.3	54	"Pippip"	0.04	"Tetvir, Pipkuh"	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_032859_383"	0	5	39	"Eptser"	0.97	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_032904_383"	0.2	3	27	"Eptser"	0.83	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_050623_446"	0.1	2.1	51	"noise"	0.52	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_070903_577"	0	1.4	97	"Rhihip"	0.97	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_074649_312"	2.3	2.4	25	"noise"	0.55	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_082556_619"	2.1	2.2	15	"noise"	0.96	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_082602_096"	2.1	2.2	14	"noise"	0.95	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_082618_043"	2.4	2.5	14	"noise"	0.97	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_082622_427"	4.1	4.2	14	"noise"	0.97	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_082640_005"	2.1	2.2	14	"noise"	0.95	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
"Car340103-2019-Pass1-Z5-015652-ETOIL_20190317_082650_720"	2	2.1	14	"noise"	0.96	""	NA	NA	NA	NA	"5cab5fae49ce43001133062f"
