"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"
"Cir464-2016-Pass2-Tron1-Chiro_0_00295_000"	0	0.5	199	"noise"	0.97	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00295_000"	0.3	0.5	45	"Pippip"	0.08	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00300_000"	0	0.5	207	"noise"	0.97	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00305_000"	0.3	0.5	57	"Pippip"	0.04	"Tetvir, Pipkuh, Myomys"	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00305_000"	0	0.5	195	"noise"	0.97	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00310_000"	0	0.5	200	"noise"	0.97	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00310_000"	0.1	0.2	51	"Yerray"	0.51	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00315_000"	0	0.5	196	"noise"	0.96	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00315_000"	0.2	0.3	42	"Yerray"	0.12	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00320_000"	0	0.5	201	"noise"	0.98	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00320_000"	0	0.3	43	"Pipkuh"	0.05	"Pippip"	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00325_000"	0	0.5	185	"noise"	0.97	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00325_000"	0	0.4	45	"Pippip"	0.13	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00330_000"	0	0.5	197	"noise"	0.95	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00330_000"	0.1	0.4	44	"Yerray"	0.07	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00335_000"	0	0.5	197	"noise"	0.97	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00335_000"	0.1	0.5	45	"Yerray"	0.49	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00340_000"	0.4	0.5	45	"Yerray"	0.04	"Pippip, Tetvir, Pipkuh, Leppun"	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00340_000"	0	0.5	196	"noise"	0.98	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00345_000"	0	0.5	198	"noise"	0.98	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
"Cir464-2016-Pass2-Tron1-Chiro_0_00345_000"	0.1	0.5	49	"Yerray"	0.25	""	NA	NA	NA	NA	"5caba3c8efb48f0010e101d8"
