"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"
"Cir440730-2016-Pass2-Tron1-Chiro_1_00244_907"	"Pippip"	0.3	0.5	52	0.414	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.006	0	0.002	0	0	0	0	0.004	0	0.004	0	0	0	0	0	0.002	0	0.002	0	0.002	0	0	0	0.002	0	0.002	0	0.002	0	0	0	0.002	0.012	0.022	0	0.002	0	0.002	0.01	0.016	0.002	0	0.01	0	0.014	0.008	0	0.01	0.018	0.044	0	0	0.008	0	0	0.004	0.002	0.01	0	0.03	0.118	0.026	0.538	0.004	0	0	0	0	0.002	0.002	0.004	0	0	0.002	0	0	0	0.002	0.002	0.004	0.002	0	0	0.002	0.002	0	0.026	0	0	0	0.002	0	0.002	0.006	"Pippip"
"Cir440730-2016-Pass2-Tron1-Chiro_1_00249_905"	"noise"	0	0.5	117	0.662	"Pippip"	""	""	""	""	"57baf418ec17be000eea34ba"	0.02	0	0	0	0.002	0	0	0	0	0	0	0	0.002	0	0	0.004	0.002	0.01	0	0.002	0.014	0	0	0	0.006	0.006	0	0.002	0	0	0	0.002	0.004	0.018	0	0.002	0.002	0	0.008	0.012	0.002	0	0.01	0	0.004	0.014	0	0.008	0.032	0.404	0	0.006	0.018	0	0.002	0.006	0	0.058	0.008	0.02	0.004	0.006	0.056	0.002	0	0.002	0	0.002	0	0.01	0.002	0	0	0	0	0	0.002	0.052	0.006	0.024	0	0.064	0	0	0.006	0.004	0.04	0	0	0	0	0	0	0.008	"noise"
"Cir440730-2016-Pass2-Tron1-Chiro_1_00249_905"	"Pippip"	0	0.1	56	0.45	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.004	0	0.002	0	0	0	0	0.002	0	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.002	0.014	0.014	0	0.002	0	0.01	0.008	0.016	0.002	0	0.008	0	0.014	0.004	0	0.008	0.018	0.032	0	0	0.008	0	0	0.002	0.004	0.004	0	0.034	0.13	0.03	0.556	0.004	0	0	0	0	0	0.002	0.004	0	0	0	0	0	0	0.002	0.004	0.004	0	0.004	0	0.002	0.002	0	0.028	0	0	0	0.002	0	0.002	0.006	"Pippip"
"Cir440730-2016-Pass2-Tron1-Chiro_1_00254_903"	"noise"	0	0.5	128	0.686	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.022	0	0	0	0.002	0	0	0	0	0	0	0	0.002	0	0	0.004	0.002	0.008	0	0.002	0.014	0	0	0	0.006	0.004	0	0.002	0	0	0	0.002	0.004	0.02	0	0.002	0.002	0	0.006	0.01	0	0	0.01	0	0.004	0.016	0	0.01	0.026	0.392	0	0.008	0.02	0	0.002	0.006	0	0.056	0.01	0.022	0.006	0.004	0.074	0.002	0	0.002	0	0.002	0	0.01	0.002	0	0	0	0	0	0.002	0.048	0.006	0.022	0	0.066	0	0	0.006	0.004	0.04	0	0	0	0	0	0	0.008	"noise"
"Cir440730-2016-Pass2-Tron1-Chiro_1_00254_903"	"Pippip"	0	0.5	54	0.496	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.004	0	0.002	0	0	0	0	0	0	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.002	0.012	0.014	0	0.002	0	0.008	0.004	0.012	0.002	0	0.004	0	0.012	0.004	0	0.006	0.016	0.026	0	0	0.006	0	0	0	0.004	0.004	0	0.04	0.154	0.034	0.558	0.004	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0.002	0.006	0.004	0	0.006	0	0.002	0	0	0.028	0	0	0	0.002	0	0.002	0.004	"Pippip"
"Cir440730-2016-Pass2-Tron1-Chiro_1_00259_901"	"noise"	0	0.5	89	0.7	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.026	0	0	0	0.002	0	0	0.002	0	0	0	0	0.006	0	0	0.004	0.002	0.002	0.002	0.004	0.012	0	0	0	0.008	0.012	0.002	0.004	0	0	0	0.002	0.008	0.02	0	0.004	0.002	0	0.014	0.024	0.002	0	0.01	0	0.012	0.016	0	0.016	0.038	0.356	0	0.01	0.016	0	0.002	0.006	0	0.046	0.01	0.024	0.02	0.01	0.072	0.004	0	0.002	0	0.002	0	0.004	0.004	0	0	0.002	0	0	0.002	0.024	0.01	0.014	0	0.048	0	0.002	0.006	0.006	0.034	0	0	0	0	0	0	0.008	"noise"
"Cir440730-2016-Pass2-Tron1-Chiro_1_00259_901"	"Pippip"	0	0.1	54	0.454	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.004	0	0.002	0	0	0	0	0.002	0	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.002	0.014	0.014	0	0.004	0	0.008	0.008	0.016	0.002	0	0.004	0	0.014	0.004	0	0.008	0.016	0.032	0	0	0.008	0	0	0.002	0.004	0.004	0	0.034	0.132	0.03	0.562	0.004	0	0	0	0	0	0.002	0.004	0	0	0	0	0	0	0.002	0.004	0.004	0	0.002	0	0.002	0.002	0	0.028	0	0	0	0.002	0	0.002	0.006	"Pippip"
"Cir440730-2016-Pass2-Tron1-Chiro_1_00264_899"	"noise"	0	0.5	122	0.658	"Myonat"	""	""	""	""	"57baf418ec17be000eea34ba"	0.02	0	0	0	0.002	0	0	0	0	0	0	0	0.002	0	0	0.004	0.002	0.01	0	0.002	0.012	0	0	0	0.006	0.006	0	0.002	0	0	0	0.002	0.006	0.02	0	0.002	0.002	0	0.006	0.01	0	0	0.01	0	0.004	0.016	0	0.01	0.03	0.396	0	0.006	0.018	0	0.002	0.006	0	0.058	0.008	0.022	0.006	0.008	0.064	0.002	0	0.002	0	0.002	0	0.008	0.002	0	0	0	0	0	0.002	0.052	0.006	0.022	0	0.064	0	0.002	0.006	0.004	0.038	0	0	0	0	0	0	0.008	"noise"
"Cir440730-2016-Pass2-Tron1-Chiro_1_00264_899"	"Pippip"	0	0.5	56	0.538	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.004	0	0.002	0	0	0	0	0	0	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.002	0.014	0.016	0	0.002	0	0.01	0	0.01	0.002	0	0.004	0	0.01	0.004	0	0.004	0.014	0.024	0	0	0.006	0	0	0	0.004	0.002	0	0.046	0.168	0.034	0.554	0.004	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.006	0.004	0	0.008	0	0.002	0	0	0.024	0	0	0	0.002	0	0	0.004	"Pippip"
"Cir440730-2016-Pass2-Tron1-Chiro_1_00269_897"	"Pippip"	0	0.5	129	0.614	"noise"	""	""	""	""	"57baf418ec17be000eea34ba"	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.008	0.012	0	0	0	0.012	0	0	0	0	0.004	0	0.008	0.014	0	0.004	0.012	0.06	0	0	0.01	0	0	0	0.01	0.008	0	0.032	0.132	0.028	0.498	0.006	0	0	0	0	0	0.002	0.004	0	0	0	0	0	0	0.036	0.002	0.024	0	0.024	0	0.002	0	0	0.03	0	0	0	0	0	0	0.002	"Pippip"
